Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,실제 값,예측 값
24.47,53.73,1389,405,12979,19393,938.705,1.5,1.56,10.31,1.607,0.036,23869,1,1
24.99,51.12,1153,535,12834,19438,938.888,1.77,1.84,12.17,1.898,0.043,13598,1,1
12.093,53.43,1136,410,12890,19455,938.789,2.2,2.28,15.11,2.356,0.053,16014,1,1
21.686,50.14,26,400,13133,20028,939.627,0.84,0.87,5.77,0.9,0.02,2097,0,0
40.23,20.8,1896,400,13046,20142,936.783,1.62,1.68,11.13,1.736,0.039,4253,0,0
19.1,48.02,1279,440,12894,19409,938.699,1.74,1.81,11.98,1.868,0.042,18212,1,1
24.44,53.83,1256,400,12925,19425,938.708,2.02,2.1,13.91,2.168,0.049,19378,1,1
18.5,56.53,362,400,13065,19892,939.282,0.32,0.33,2.21,0.344,0.008,8806,1,1
13.353,47.39,1059,400,12895,19461,938.771,1.94,2.02,13.38,2.086,0.047,16705,1,1
14.046,47.45,135,400,13161,20034,939.66,0.95,0.98,6.51,1.015,0.023,2800,0,0
6.548,47.43,1226,400,12966,19423,938.717,1.94,2.02,13.36,2.083,0.047,20780,1,1
-9.272,50.28,33,400,13251,20202,939.713,2.08,2.16,14.32,2.233,0.05,5469,1,1
29.01,41.4,78,400,12829,20684,937.514,2.04,2.12,14.07,2.194,0.05,511,0,0
14.498,53.03,1161,400,12939,19450,938.743,2.11,2.19,14.49,2.26,0.051,20205,1,1
-21.849,49.19,1277,400,12979,19408,938.738,1.83,1.9,12.62,1.968,0.044,22990,1,1
17.06,49.7,63,400,13104,19985,939.631,0.75,0.78,5.19,0.809,0.018,1798,0,0
25.68,48.78,176,437,12765,20547,937.326,1.89,1.96,12.98,2.023,0.046,2421,0,0
-2.923,51.51,791,721,12772,19542,939.131,2.65,2.75,18.22,2.842,0.064,9995,1,1
12.008,47.75,1170,419,12877,19438,938.791,1.55,1.61,10.65,1.661,0.038,15857,1,1
-5.623,44.14,96,400,12790,20632,937.427,1.93,2.01,13.3,2.074,0.047,1587,0,0
24.417,55.25,43,400,13119,20010,939.614,0.75,0.78,5.15,0.804,0.018,1762,0,0
21.01,50.33,334,400,13095,19930,939.341,0.27,0.28,1.88,0.293,0.007,8566,1,1
-7.8,52.02,185,400,13160,20081,939.637,0.87,0.9,5.98,0.933,0.021,6275,1,1
15.9,53.13,3,400,13055,19955,939.787,0.24,0.25,1.64,0.255,0.006,1090,0,0
13.157,52.28,1057,623,12815,19469,939.066,1.68,1.75,11.59,1.807,0.041,11622,1,1
-4.881,57.15,334,400,13094,19923,939.317,0.46,0.48,3.18,0.496,0.011,8591,1,1
26.81,48.22,1327,400,12969,19391,938.69,1.97,2.04,13.54,2.111,0.048,22218,1,1
11.652,47.87,1266,400,12958,19408,938.768,2.38,2.47,16.35,2.55,0.058,20432,1,1
27.01,47.66,1205,400,12905,19441,938.733,1.76,1.83,12.12,1.89,0.043,17481,1,1
23.1,54.97,935,735,12758,19488,939.091,2.39,2.49,16.47,2.568,0.058,10136,1,1
-7.679,50.05,170,400,13167,20093,939.642,0.86,0.89,5.91,0.921,0.021,6312,1,1
2.912,53.31,268,400,13142,19950,939.687,1.41,1.47,9.73,1.517,0.034,3704,1,1
-4.08,41.39,97,406,12788,20616,937.402,1.86,1.93,12.8,1.996,0.045,1784,0,0
26.0,52.0,981,588,12822,19487,939.082,1.97,2.05,13.56,2.114,0.048,11763,1,1
4.352,51.05,912,644,12798,19502,939.067,2.1,2.18,14.44,2.252,0.051,10822,1,1
26.83,47.34,1069,595,12815,19464,939.048,2.0,2.08,13.77,2.147,0.048,11842,1,1
20.19,51.39,0,400,12469,19317,939.758,0.74,3.11,0.0,3.588,2.284,13,0,0
14.443,51.65,95,400,13281,21063,937.029,1.76,1.83,12.11,1.888,0.043,3919,0,0
-4.776,56.13,223,400,13147,20038,939.507,0.32,0.33,2.2,0.343,0.008,7197,1,1
-0.955,56.43,931,707,12771,19487,939.061,2.32,2.41,15.95,2.488,0.056,10273,1,1
26.83,48.2,1134,400,12910,19452,938.725,1.53,1.59,10.55,1.644,0.037,17594,1,1
25.84,49.53,912,658,12796,19505,939.095,1.86,1.93,12.82,1.999,0.045,10650,1,1
31.38,18.16,0,843,13095,20940,930.916,1.01,1.05,6.96,1.085,0.025,1150,1,1
-12.157,52.78,1379,406,12957,19384,938.733,2.05,2.13,14.12,2.202,0.05,21942,1,1
19.68,54.54,27,400,13242,20205,939.72,2.38,2.47,16.36,2.552,0.058,5450,1,1
18.158,48.84,1253,425,12893,19421,938.709,1.56,1.62,10.73,1.674,0.038,17973,1,1
19.89,53.84,1226,411,12917,19417,938.682,1.75,1.82,12.07,1.881,0.042,19497,1,1
-6.688,55.95,221,400,13134,20043,939.61,0.64,0.66,4.4,0.686,0.015,6598,1,1
18.55,50.71,130,400,13167,20035,939.644,0.83,0.87,5.74,0.895,0.02,2808,0,0
-3.895,55.06,675,858,12698,19568,939.14,2.6,2.71,17.93,2.795,0.063,9803,1,1
24.59,53.22,1132,402,12883,19439,938.754,2.33,2.42,16.03,2.499,0.056,16909,1,1
35.36,16.22,104,2487,12611,20501,930.906,1.07,1.11,7.38,1.151,0.026,875,1,1
24.57,53.34,1166,402,12896,19448,938.769,1.69,1.75,11.61,1.811,0.041,16791,1,1
19.071,47.51,1170,400,12909,19438,938.713,1.67,1.73,11.49,1.792,0.04,18204,1,1
11.27,52.46,1030,619,12805,19476,939.08,1.96,2.04,13.49,2.104,0.048,11445,1,1
-0.063,50.25,1276,400,12961,19407,938.688,1.86,1.94,12.83,2.001,0.045,21186,1,1
-13.192,53.9,1404,413,12963,19389,938.725,2.11,2.19,14.5,2.262,0.051,22015,1,1
25.78,50.39,935,652,12803,19503,939.073,2.23,2.32,15.36,2.395,0.054,10764,1,1
-21.28,48.34,1467,440,12951,19363,938.737,2.27,2.36,15.65,2.441,0.055,22832,1,1
-6.568,53.89,62,400,13241,20148,939.683,2.09,2.17,14.39,2.243,0.051,4677,1,1
26.91,47.72,1128,509,12845,19448,938.877,2.08,2.16,14.33,2.234,0.05,13695,1,1
13.342,47.99,1055,432,12873,19466,938.83,1.55,1.61,10.66,1.663,0.038,14955,1,1
8.356,58.94,142,400,13218,20081,939.698,2.58,2.68,17.75,2.768,0.063,3260,1,1
22.73,56.82,961,721,12769,19493,939.08,2.33,2.43,16.07,2.506,0.057,10151,1,1
-4.536,54.3,309,400,13113,19951,939.363,0.38,0.39,2.6,0.406,0.009,8321,1,1
-17.154,52.64,1337,400,12989,19394,938.7,1.6,1.67,11.05,1.723,0.039,23823,1,1
24.66,52.43,1105,559,12828,19458,938.952,1.72,1.79,11.83,1.845,0.042,12765,1,1
42.04,20.71,2662,400,12979,19949,936.834,1.21,1.26,8.32,1.298,0.029,4249,0,0
22.36,47.23,149,400,13216,20069,939.655,1.59,1.65,10.95,1.708,0.039,3797,1,1
19.95,62.87,621,554,12863,19637,939.246,2.5,2.6,17.21,2.683,0.061,9356,1,1
-16.34,54.18,1421,417,12971,19372,938.712,1.57,1.63,10.79,1.683,0.038,23876,1,1
-4.159,43.91,107,411,12773,20618,937.417,1.81,1.88,12.43,1.938,0.044,1736,0,0
18.681,47.54,1000,579,12831,19480,939.046,2.01,2.08,13.8,2.152,0.049,12258,1,1
28.82,42.24,161,431,12770,20558,937.328,2.05,2.13,14.1,2.199,0.05,2626,0,0
29.41,66.08,1835,400,13422,20166,937.045,0.82,0.85,5.65,0.881,0.02,3995,0,0
26.94,47.89,1341,400,12969,19387,938.728,1.72,1.79,11.85,1.847,0.042,22763,1,1
26.78,48.04,1287,400,12999,19408,938.795,1.81,1.88,12.45,1.941,0.044,24378,1,1
21.85,50.74,96,400,13231,20118,939.672,2.56,2.66,17.62,2.748,0.062,4328,1,1
20.786,52.03,1115,556,12829,19449,938.944,2.2,2.29,15.17,2.365,0.053,12822,1,1
-8.218,49.33,158,400,13181,20108,939.661,1.31,1.36,8.99,1.402,0.032,6140,1,1
26.41,50.14,1073,505,12848,19459,938.878,2.31,2.4,15.9,2.479,0.056,13205,1,1
19.454,52.69,1101,522,12846,19446,938.873,1.73,1.8,11.92,1.859,0.042,13607,1,1
8.212,53.9,1055,642,12798,19469,939.066,2.31,2.4,15.92,2.482,0.056,11170,1,1
20.12,52.66,16,400,13255,20214,939.711,2.97,3.09,20.45,3.189,0.072,5259,1,1
22.33,47.97,96,400,13227,20114,939.66,1.8,1.87,12.36,1.927,0.044,4280,1,1
5.092,53.32,1381,417,12950,19391,938.706,2.07,2.15,14.27,2.225,0.05,20872,1,1
38.25,24.04,720,400,13173,20448,936.758,1.76,1.83,12.13,1.892,0.043,4264,0,0
-8.31,54.93,149,400,13181,20112,939.683,1.32,1.37,9.09,1.418,0.032,6108,1,1
-8.492,54.33,25,400,13251,20183,939.687,1.79,1.86,12.35,1.925,0.043,5043,1,1
24.73,52.85,1199,404,12913,19428,938.691,1.68,1.75,11.59,1.807,0.041,18764,1,1
24.72,52.96,1220,413,12906,19418,938.717,1.47,1.53,10.14,1.581,0.036,18405,1,1
26.78,47.3,1053,611,12804,19469,939.081,2.27,2.36,15.64,2.438,0.055,11492,1,1
27.05,47.5,1111,400,12909,19452,938.732,1.76,1.83,12.14,1.893,0.043,17484,1,1
12.197,52.18,1191,414,12873,19430,938.767,1.9,1.97,13.06,2.037,0.046,16121,1,1
11.708,16.9,258,400,13488,20897,936.825,1.73,1.8,11.92,1.859,0.042,4694,0,0
17.745,49.25,1166,400,12932,19436,938.714,1.68,1.74,11.54,1.799,0.041,19869,1,1
-21.863,48.38,1302,400,12977,19408,938.733,1.57,1.64,10.84,1.69,0.038,22996,1,1
-5.667,53.67,64,400,13248,20152,939.673,2.11,2.19,14.54,2.267,0.051,4553,1,1
-7.683,50.24,176,400,13167,20088,939.638,0.83,0.86,5.72,0.893,0.02,6311,1,1
29.63,39.45,21,429,12863,20768,937.602,1.96,2.04,13.49,2.103,0.048,33,0,0
-15.645,54.2,1318,400,12968,19398,938.696,1.84,1.91,12.67,1.975,0.045,22201,1,1
26.41,50.15,1126,506,12852,19446,938.882,1.78,1.85,12.26,1.912,0.043,13745,1,1
20.496,42.3,189,432,12765,20529,937.343,1.67,1.74,11.51,1.795,0.041,3048,0,0
-19.737,16.96,60000,16800,11041,16054,936.782,5618.39,8879.28,31026.06,9668.115,3089.008,5192,0,0
10.689,53.11,1065,637,12802,19466,939.104,2.49,2.58,17.11,2.668,0.06,11392,1,1
-5.16,57.48,354,400,13068,19907,939.294,0.64,0.66,4.38,0.683,0.015,8871,1,1
26.69,44.95,185,450,12762,20533,937.412,1.56,1.62,10.76,1.678,0.038,2816,0,0
-9.097,54.92,43,400,13244,20213,939.716,2.01,2.09,13.85,2.16,0.049,5748,1,1
18.75,55.9,204,400,13147,20057,939.581,0.6,0.63,4.16,0.649,0.015,6655,1,1
22.07,49.52,54,400,13264,20158,939.67,2.51,2.61,17.31,2.699,0.061,4451,1,1
-5.519,53.96,1268,404,12991,19399,938.795,1.86,1.93,12.79,1.995,0.045,24359,1,1
26.84,44.99,17,415,12863,20774,937.63,2.18,2.26,15.0,2.34,0.053,81,0,0
29.07,40.93,54,400,12797,20688,937.57,2.12,2.2,14.61,2.278,0.051,879,0,0
26.78,48.61,1191,400,12922,19439,938.71,1.56,1.63,10.77,1.68,0.038,19152,1,1
21.74,49.45,150,400,13182,20114,939.669,1.26,1.31,8.7,1.357,0.031,6138,1,1
24.64,53.09,1164,402,12891,19446,938.781,1.48,1.54,10.21,1.592,0.036,17027,1,1
26.8,47.22,1011,400,13007,19476,938.72,2.28,2.37,15.68,2.446,0.055,20655,1,1
24.41,53.63,1155,400,12947,19439,938.72,2.03,2.11,13.95,2.176,0.049,20214,1,1
-5.854,56.29,221,400,13140,20041,939.596,0.55,0.57,3.8,0.592,0.013,6837,1,1
-4.357,58.78,795,962,12647,19539,939.145,2.6,2.7,17.9,2.792,0.063,9681,1,1
33.9,52.59,3281,400,13241,19789,936.903,0.89,0.92,6.13,0.955,0.022,4105,0,0
28.76,41.55,109,400,12792,20610,937.35,1.8,1.87,12.36,1.928,0.044,2205,0,0
24.55,53.35,1356,403,12967,19384,938.75,2.44,2.53,16.76,2.614,0.059,22726,1,1
24.45,53.96,1253,409,12920,19417,938.735,1.33,1.38,9.16,1.429,0.032,20036,1,1
11.05,55.73,11,400,12568,19652,939.805,0.0,0.0,0.0,0.0,0.0,164,0,0
12.21,47.36,1195,433,12871,19432,938.817,1.76,1.83,12.14,1.893,0.043,15442,1,1
19.604,49.34,18,400,13205,20145,939.626,1.16,1.2,7.97,1.242,0.028,2309,0,0
5.374,18.77,0,400,13646,21402,936.826,0.85,0.88,5.82,0.908,0.02,4792,0,0
29.69,39.54,33,400,12835,20738,937.584,2.26,2.35,15.57,2.429,0.055,349,0,0
25.812,56.04,22,400,13110,19994,939.65,0.62,0.64,4.27,0.666,0.015,1531,0,0
13.34,55.54,14,400,13015,19923,939.742,0.16,0.17,1.12,0.175,0.004,955,0,0
16.579,51.73,1124,609,12812,19455,939.045,1.71,1.78,11.8,1.84,0.042,11980,1,1
18.54,50.82,36,400,13131,20006,939.609,0.71,0.73,4.86,0.758,0.017,1832,0,0
5.322,50.92,1050,683,12787,19463,939.061,2.3,2.39,15.85,2.471,0.056,10911,1,1
26.95,47.81,1228,402,12919,19420,938.713,1.61,1.67,11.08,1.728,0.039,19039,1,1
8.644,51.02,892,400,13019,19502,938.722,2.49,2.59,17.15,2.675,0.06,20643,1,1
20.99,49.93,264,400,13121,20002,939.491,0.38,0.39,2.61,0.407,0.009,7450,1,1
57.54,18.47,52737,956,12522,18427,936.901,0.9,0.94,6.2,0.966,0.022,4596,0,0
-4.405,52.05,301,400,13113,19963,939.416,0.19,0.19,1.29,0.201,0.005,8215,1,1
2.699,54.31,244,400,13146,19962,939.684,1.41,1.47,9.72,1.516,0.034,3722,1,1
15.156,71.49,990,400,13333,20365,937.084,0.79,0.82,5.42,0.845,0.019,3964,0,0
26.94,47.83,1366,408,12964,19390,938.717,1.91,1.99,13.16,2.053,0.046,22343,1,1
16.004,50.62,1111,400,12910,19448,938.726,1.54,1.6,10.58,1.649,0.037,17465,1,1
18.25,46.91,1134,497,12854,19449,938.922,2.1,2.19,14.48,2.258,0.051,13889,1,1
-9.517,47.17,1272,400,12996,19414,938.748,2.22,2.31,15.29,2.384,0.054,24211,1,1
25.37,48.78,1237,440,12861,19426,938.76,1.75,1.82,12.06,1.88,0.042,15933,1,1
27.088,55.75,17,400,13010,19924,939.741,0.16,0.16,1.09,0.17,0.004,956,0,0
27.11,51.12,0,400,13037,19948,939.752,0.15,0.15,1.0,0.156,0.004,986,0,0
25.09,50.82,1208,414,12902,19428,938.699,1.91,1.99,13.15,2.051,0.046,18156,1,1
20.357,54.15,0,400,13215,20135,939.617,0.81,0.84,5.57,0.869,0.02,2235,0,0
19.765,53.12,1254,413,12903,19419,938.72,1.51,1.57,10.41,1.624,0.037,18407,1,1
27.119,53.41,20,400,13025,19927,939.744,0.31,0.32,2.12,0.331,0.007,1007,0,0
20.22,59.32,260,400,13150,19954,939.675,2.17,2.26,14.96,2.333,0.053,3339,1,1
24.69,53.0,1118,401,12906,19455,938.722,2.11,2.19,14.54,2.267,0.051,17806,1,1
26.0,46.76,1254,563,12826,19416,938.885,1.54,1.6,10.58,1.65,0.037,13411,1,1
57.66,18.15,60000,20817,10938,15653,936.806,12909.45,35593.28,33120.46,40382.84,21843.672,5144,0,0
-19.124,11.54,6324,400,13364,19606,936.687,0.65,0.67,4.45,0.694,0.016,5439,0,0
17.423,56.41,3394,400,13236,19766,936.927,0.52,0.54,3.58,0.559,0.013,4090,0,0
19.1,53.94,215,400,13144,20046,939.615,0.88,0.91,6.04,0.942,0.021,6758,1,1
21.93,61.55,614,516,12882,19632,939.17,2.8,2.91,19.25,3.002,0.068,9442,1,1
24.71,52.9,1174,400,12922,19424,938.678,1.71,1.78,11.77,1.836,0.041,19424,1,1
-4.746,56.99,338,400,13086,19917,939.336,0.19,0.19,1.29,0.201,0.005,8483,1,1
-21.957,49.71,1331,400,12979,19402,938.708,1.73,1.8,11.94,1.862,0.042,23048,1,1
24.45,53.89,1258,411,12918,19412,938.69,1.85,1.92,12.72,1.984,0.045,19498,1,1
26.57,48.84,1036,554,12836,19464,938.979,1.95,2.02,13.41,2.091,0.047,12608,1,1
-6.581,52.37,1318,408,12960,19401,938.748,1.93,2.0,13.28,2.071,0.047,21580,1,1
16.27,54.41,45,400,13119,20013,939.611,0.68,0.7,4.65,0.725,0.016,1753,0,0
27.06,47.49,1195,400,12906,19427,938.731,1.66,1.72,11.41,1.78,0.04,18504,1,1
26.99,47.64,1335,400,12963,19388,938.721,1.98,2.06,13.66,2.13,0.048,21807,1,1
24.736,52.34,9,400,13146,20051,939.625,0.62,0.64,4.25,0.662,0.015,1715,0,0
26.94,47.22,1174,400,13017,19439,938.769,2.24,2.33,15.44,2.407,0.054,24209,1,1
19.026,48.49,1164,401,12915,19444,938.696,1.48,1.54,10.18,1.588,0.036,18192,1,1
26.48,48.49,986,600,12812,19469,939.079,2.36,2.45,16.22,2.53,0.057,11711,1,1
-21.032,53.08,1394,401,12964,19386,938.742,1.58,1.64,10.85,1.692,0.038,22784,1,1
21.8,50.41,33,400,13254,20220,939.705,2.33,2.42,16.02,2.499,0.056,5771,1,1
-16.11,52.26,1358,400,12964,19388,938.703,1.93,2.01,13.3,2.074,0.047,22239,1,1
-5.141,41.97,113,400,12792,20608,937.348,1.81,1.88,12.45,1.941,0.044,2138,0,0
-5.796,47.46,104,404,12781,20619,937.44,1.89,1.97,13.02,2.03,0.046,1575,0,0
19.951,52.5,1195,400,12927,19431,938.706,1.5,1.55,10.3,1.606,0.036,19481,1,1
20.46,52.55,299,400,13121,19969,939.387,0.27,0.28,1.83,0.286,0.006,7988,1,1
18.236,53.47,1151,403,12907,19446,938.707,1.74,1.8,11.95,1.864,0.042,17992,1,1
21.41,49.84,189,400,13163,20082,939.607,0.85,0.88,5.84,0.911,0.021,6434,1,1
19.557,52.54,1243,420,12905,19432,938.744,1.55,1.61,10.7,1.668,0.038,18342,1,1
15.556,48.17,1143,400,12904,19440,938.763,1.77,1.84,12.18,1.899,0.043,17354,1,1
24.9,51.65,1105,509,12846,19458,938.871,1.78,1.85,12.26,1.912,0.043,13600,1,1
26.78,45.07,87,412,12772,20647,937.553,2.09,2.18,14.41,2.247,0.051,840,0,0
-18.513,12.51,4079,400,13423,19757,936.691,0.67,0.69,4.59,0.716,0.016,5451,0,0
18.44,51.9,155,400,13147,20014,939.637,0.82,0.85,5.61,0.875,0.02,2938,0,0
19.532,39.4,9167,400,12889,19375,936.894,0.68,0.71,4.71,0.735,0.017,4213,0,0
4.634,48.79,1046,684,12779,19469,939.057,2.42,2.51,16.66,2.598,0.059,10848,1,1
16.629,49.72,1214,422,12890,19425,938.732,1.66,1.72,11.41,1.78,0.04,17614,1,1
25.16,50.38,1220,415,12905,19427,938.715,1.62,1.69,11.17,1.742,0.039,18095,1,1
20.011,47.59,1224,400,12930,19435,938.675,1.83,1.9,12.61,1.966,0.044,19465,1,1
24.9,51.39,1061,566,12830,19455,938.931,2.15,2.23,14.77,2.304,0.052,12819,1,1
3.742,50.11,984,666,12794,19489,939.073,2.25,2.34,15.5,2.416,0.055,10765,1,1
0.155,51.46,157,400,13215,20066,939.662,2.34,2.43,16.11,2.512,0.057,3944,1,1
11.834,49.61,1120,649,12798,19452,939.06,2.16,2.24,14.83,2.313,0.052,11497,1,1
17.01,52.19,1084,400,12923,19466,938.719,1.8,1.87,12.41,1.936,0.044,17703,1,1
-5.107,56.41,236,400,13128,20028,939.582,0.37,0.38,2.53,0.394,0.009,7074,1,1
20.682,29.09,8138,400,12931,19436,936.905,0.3,0.32,2.09,0.326,0.007,4325,0,0
24.13,52.75,1017,675,12786,19478,939.084,2.19,2.28,15.11,2.355,0.053,10795,1,1
24.58,53.38,1164,400,12910,19437,938.699,1.55,1.61,10.64,1.659,0.037,18171,1,1
19.79,61.65,605,554,12864,19652,939.225,2.99,3.1,20.56,3.206,0.072,9292,1,1
16.299,48.02,1117,400,12908,19450,938.747,1.45,1.5,9.97,1.554,0.035,17536,1,1
18.74,54.16,315,400,13107,19950,939.389,0.31,0.32,2.13,0.333,0.008,8016,1,1
-0.325,51.03,929,687,12786,19504,939.087,2.48,2.58,17.08,2.664,0.06,10348,1,1
19.58,65.57,630,571,12858,19632,939.211,2.47,2.57,16.99,2.65,0.06,9377,1,1
16.783,51.05,984,566,12834,19477,939.028,2.02,2.1,13.92,2.17,0.049,12004,1,1
26.96,47.36,1046,543,12837,19470,938.91,1.99,2.07,13.72,2.139,0.048,12979,1,1
13.261,51.73,1063,437,12865,19456,938.817,1.75,1.82,12.05,1.879,0.042,14979,1,1
-2.219,41.8,139,402,12791,20590,937.341,1.92,1.99,13.18,2.056,0.046,2322,0,0
-5.242,56.16,380,400,13050,19889,939.287,0.31,0.32,2.13,0.332,0.007,9078,1,1
14.137,52.82,1145,449,12862,19443,938.865,1.94,2.01,13.34,2.08,0.047,14747,1,1
26.05,52.74,1277,400,13002,19405,938.823,1.81,1.89,12.49,1.947,0.044,24723,1,1
15.991,48.59,1164,473,12858,19452,938.921,2.29,2.38,15.79,2.462,0.056,14349,1,1
20.141,53.22,1189,402,12923,19437,938.666,1.66,1.72,11.41,1.78,0.04,19427,1,1
26.0,53.06,1073,400,12908,19464,938.748,1.71,1.77,11.74,1.83,0.041,16862,1,1
24.34,53.17,1155,609,12812,19451,939.042,2.1,2.18,14.46,2.255,0.051,11873,1,1
16.36,42.23,154,415,12779,20565,937.364,2.01,2.09,13.82,2.154,0.049,2747,0,0
14.534,52.31,1157,406,12890,19440,938.791,1.85,1.93,12.76,1.989,0.045,17081,1,1
-4.54,55.95,263,400,13125,20002,939.503,0.41,0.43,2.82,0.44,0.01,7300,1,1
19.81,60.18,309,400,13116,19905,939.685,1.35,1.4,9.27,1.446,0.033,3481,1,1
24.72,53.12,1218,400,12926,19435,938.709,1.45,1.51,10.0,1.559,0.035,19665,1,1
28.38,39.69,0,400,13118,20947,937.447,2.11,2.19,14.54,2.267,0.051,3521,0,0
17.317,52.27,1111,488,12848,19448,938.9,1.81,1.88,12.49,1.947,0.044,14083,1,1
18.46,51.64,136,400,13169,20051,939.653,0.79,0.82,5.41,0.844,0.019,2874,0,0
0.399,47.17,168,400,13207,20044,939.663,2.23,2.31,15.32,2.389,0.054,3922,1,1
34.72,48.83,5747,400,13117,19589,936.894,0.43,0.45,2.97,0.463,0.01,4136,0,0
-6.381,47.47,52,400,13246,20167,939.657,2.2,2.29,15.15,2.363,0.053,4650,1,1
2.354,47.14,96,400,12785,20650,937.563,1.87,1.95,12.89,2.01,0.045,862,0,0
18.802,50.8,1057,598,12814,19470,939.033,1.89,1.97,13.04,2.033,0.046,12277,1,1
-4.225,51.5,306,400,13118,19961,939.395,0.24,0.25,1.63,0.254,0.006,8044,1,1
20.23,49.68,79,400,13202,20099,939.642,1.11,1.15,7.62,1.189,0.027,2717,0,0
27.01,47.07,1078,557,12830,19459,938.952,1.92,1.99,13.21,2.06,0.047,12564,1,1
-4.605,60.83,693,701,12789,19558,939.166,2.68,2.78,18.41,2.871,0.065,9599,1,1
20.763,47.63,1189,400,12918,19427,938.702,1.66,1.72,11.41,1.778,0.04,19103,1,1
12.03,52.54,1178,431,12865,19429,938.785,1.73,1.8,11.89,1.855,0.042,15644,1,1
24.38,53.13,1120,602,12812,19447,939.011,2.23,2.32,15.34,2.392,0.054,12054,1,1
-4.333,47.54,113,424,12775,20613,937.388,2.05,2.13,14.1,2.198,0.05,1873,0,0
21.91,49.81,35,400,13246,20216,939.735,2.33,2.42,16.06,2.505,0.057,5594,1,1
25.99,53.16,1051,400,12919,19467,938.714,1.79,1.86,12.33,1.922,0.043,17702,1,1
12.766,47.02,1061,427,12876,19460,938.82,1.67,1.74,11.5,1.794,0.041,15149,1,1
26.856,50.84,0,400,12977,19909,939.791,0.09,0.1,0.64,0.099,0.002,822,0,0
19.684,47.65,1195,400,12909,19424,938.704,2.03,2.11,13.96,2.177,0.049,18381,1,1
20.71,51.47,238,400,13141,20034,939.514,0.48,0.5,3.28,0.512,0.012,7206,1,1
1.984,52.64,159,400,13210,20051,939.651,1.83,1.9,12.56,1.959,0.044,3783,1,1
24.47,52.8,1151,615,12811,19436,939.032,1.95,2.03,13.43,2.094,0.047,11928,1,1
19.68,48.74,0,400,13192,20126,939.621,0.96,0.99,6.59,1.027,0.023,2192,0,0
13.567,52.29,1147,400,12893,19446,938.753,1.85,1.92,12.71,1.982,0.045,16781,1,1
23.384,48.13,61,400,13130,19989,939.637,0.63,0.65,4.33,0.675,0.015,1900,0,0
20.318,47.23,1138,526,12846,19453,938.897,1.83,1.9,12.56,1.959,0.044,13340,1,1
20.88,52.81,340,400,13096,19871,939.71,1.35,1.4,9.29,1.449,0.033,3576,1,1
24.51,53.46,1337,406,12954,19393,938.686,1.68,1.75,11.59,1.808,0.041,21410,1,1
23.679,44.28,46,427,12859,20745,937.601,2.44,2.53,16.77,2.616,0.059,69,0,0
17.776,50.66,3455,400,13230,19739,936.925,0.81,0.84,5.54,0.865,0.02,4109,0,0
-5.005,50.79,252,400,13119,20013,939.538,0.51,0.53,3.52,0.549,0.012,7110,1,1
-4.196,51.6,284,400,13117,19987,939.487,0.55,0.58,3.81,0.594,0.013,7516,1,1
-9.26,47.56,96,400,12782,20628,937.483,2.02,2.1,13.91,2.17,0.049,1281,0,0
-5.524,47.38,66,400,12787,20677,937.474,1.87,1.94,12.85,2.004,0.045,1042,0,0
14.849,49.71,1151,458,12861,19454,938.886,1.74,1.8,11.94,1.862,0.042,14586,1,1
35.61,15.85,0,658,13211,20844,930.923,1.22,1.27,8.39,1.308,0.03,1008,1,1
20.71,55.67,23,400,13265,20237,939.736,2.53,2.63,17.39,2.712,0.061,5580,1,1
25.22,49.91,1163,493,12848,19440,938.9,1.62,1.69,11.18,1.743,0.039,14255,1,1
27.123,53.32,1,400,13048,19954,939.747,0.27,0.28,1.84,0.288,0.006,1037,0,0
39.98,37.26,7892,400,12975,19452,936.882,0.49,0.51,3.36,0.524,0.012,4186,0,0
18.973,49.91,1178,400,12931,19439,938.721,1.66,1.72,11.4,1.777,0.04,19687,1,1
21.41,49.4,201,400,13155,20073,939.611,0.86,0.89,5.93,0.924,0.021,6623,1,1
13.11,57.18,9,400,13016,19923,939.746,0.14,0.14,0.95,0.149,0.003,968,0,0
0.851,49.54,866,662,12790,19516,939.136,2.02,2.1,13.93,2.173,0.049,10478,1,1
24.58,53.43,1191,400,12923,19430,938.699,1.49,1.55,10.24,1.597,0.036,19190,1,1
-6.24,49.58,18,400,13262,20194,939.656,2.1,2.18,14.47,2.256,0.051,4630,1,1
-3.107,56.41,732,721,12767,19543,939.115,2.48,2.57,17.05,2.659,0.06,9963,1,1
19.33,65.52,610,567,12864,19644,939.197,2.52,2.61,17.31,2.7,0.061,9305,1,1
25.28,52.87,28,400,13127,20017,939.604,0.72,0.75,4.94,0.77,0.017,1628,0,0
24.38,54.04,1350,410,12963,19390,938.723,2.2,2.29,15.14,2.361,0.053,22676,1,1
24.73,52.71,1350,417,12963,19374,938.737,2.21,2.3,15.24,2.376,0.054,22361,1,1
26.02,53.12,1090,400,12919,19454,938.698,1.75,1.81,12.02,1.874,0.042,18002,1,1
19.49,55.79,30,400,13248,20224,939.67,2.46,2.56,16.93,2.639,0.06,5815,1,1
24.45,53.68,1318,400,12957,19393,938.71,1.97,2.05,13.56,2.114,0.048,21771,1,1
